title,achievement,flavorText,trigger,id,category,tags,points,iconPath,rarity
Eclectic Reader,Eclectic Reader,You refuse to read the same voice twice.,Finish books by 10 different authors,finish_books_by_10_distinct_authors_eclectic_reader,author,author,20,/icons/eclectic_reader.png,Uncommon
Page Turner,Page Turner,You started it. You finished it. You slept later.,Finish a book in a single day,finish_book_in_one_day_page_turner,behavior_session,session,20,/icons/page_turner.png,Uncommon
Speed Reader,Speed Reader,A 20-hour book in under a week. The System clocked you doing 3x the speed limit.,Finish a book that is 20+ hours long in under 7 days,finish_20h_book_under_7_days_speed_reader,behavior_session,session,30,/icons/sreader.png,Rare
Daily Listener,Daily Listener,Seven days straight. The story owns your schedule now.,Listen on 7 consecutive days,listen_7_consecutive_days_daily_listener,behavior_streak,streak,20,/icons/daily_listener.png,Uncommon
Iron Streak,Iron Streak,Thirty days straight. At this point the audiobook is raising you.,Listen on 30 consecutive days,listen_30_consecutive_days_iron_streak,behavior_streak,streak,50,/icons/istreak.png,Epic
Completionist Junior,Trilogy Cleared,Three books. One arc. Zero restraint. The System awards you a small victory and a bigger temptation.,Finish a trilogy.,finish_a_trilogy_trilogy_cleared,series_shape,series,15,/icons/trilogyclear.png,Uncommon
Binge Listener,Binge Listener,Just one more chapter turned into half your day.,Any single listening session lasts at least 5 hours,single_listening_session_5_hours_binge_listener,behavior_session,session,15,/icons/binge_listener.png,Uncommon
Five-Pack,Light Snack,Five books down. You're not addicted. You're 'committed.' That's what the addicts say.,Finish 5 books total.,finish_5_books_total_light_snack,milestone_books,books,10,/icons/lightsnack.png,Common
1 series,Series Eradicated,You finished an entire series. The System marks it 'cleared' and immediately offers you three more.,Finish 1 complete series.,finish_1_complete_series_series_eradicated,milestone_series,series,10,/icons/eradicated.png,Common
Side Quest,Duology Speedrun,You completed a series with exactly two books. The System respects efficient obsession.,Finish a series with exactly 2 books.,finish_a_series_with_exactly_2_books_duology_speedrun,series_shape,series,10,/icons/sidequest.png,Common
Pointy Hat Approved,Pointy Hat Approved,Magic detected. Hat optional.,Finish a book with mage OR wizard OR sorcerer in the title,finish_a_book_with_mage_or_wizard_pointy_hat_approved,title_keyword,keyword,10,/icons/pointy.png,Common
Author Collector,Author Collector,Five authors. Five voices. Infinite backlog.,Finish books by 5 different authors,finish_books_by_5_distinct_authors_author_collector,author,author,10,/icons/author_collector.png,Common
Habit Forming,Habit Forming,Three days in a row. The routine has begun.,Listen on 3 consecutive days,listen_3_consecutive_days_habit_forming,behavior_streak,streak,10,/icons/habit_forming.png,Common
Multi-talented,Self-Narrated Chaos,The author narrated their own book. Bold. Intimate. Slightly unhinged.,Finish a book that is narrated by the author.,finish_a_book_that_is_narrated_by_the_author_self_narrated_c,author,author,5,/icons/multital.png,Common
2:00 AM: Poor Life Choices,Just One More Chapter,You listened past 2 AM on a weeknight. Tomorrow-you is furious. The System is delighted.,"User has any listening session that reaches = 2:00 AM America/New_York, where the local day is Monday - Friday.",user_has_any_listening_session_that_reaches_2_00_am_america_,behavior_time,time,5,/icons/latenight.png,Common
Early Bird,Early Bird,Listening before 6 AM. The sun isn't even up yet but your TBR doesn't care.,User has any listening session starting before 6:00 AM America/New_York,listening_session_before_6am_early_bird,behavior_time,time,5,/icons/ebird.png,Common
Novella Collector,Bite-Sized Binge,Five short books down. You're basically speedrunning literature.,Finish 5 books that are under 5 hours long.,finish_5_books_that_are_under_5_hours_long_bite_sized_binge,duration,duration,5,/icons/bitesized.png,Common
Short & Sweet,Snack-Sized Violence,You finished a book under 3 hours. Quick. Clean. Suspiciously efficient.,Finish a book that is under 3 hours long.,finish_a_book_that_is_under_3_hours_long_snack_sized_violenc,duration,duration,5,/icons/shortsweet.png,Common
20 books,"Twenty Questions, Zero Regrets",Twenty books finished. You now have opinions on narrators you've never met. The System approves of your confidence.,Finish 20 audiobooks total.,finish_20_audiobooks_total_twenty_questions_zero_regrets,milestone_books,books,5,/icons/20books.png,Common
First Word,Tutorial: Complete,You finished your first audiobook. The System is proud. Don't get used to it.,Finish 1 audiobook.,finish_your_first_audiobook_tutorial_complete,milestone_books,books,5,/icons/tutorial.png,Common
15 series,Serial Offender,Fifteen series. That's not dedication. That's a condition. The System recommends sunlight.,Finish 15 complete series.,finish_15_complete_series_serial_offender,milestone_series,series,5,/icons/serialoff.png,Common
2 series,Double Feature,"Two series down. You're officially the kind of person who says, 'I'll just start the next one.' The System smiles.",Finish 2 complete series.,finish_2_complete_series_double_feature,milestone_series,series,5,/icons/doublefeature.png,Common
20 series,Saga Collector,Twenty series finished. You've lived multiple lifetimes and still have backlog. The System nods knowingly.,Finish 20 complete series.,finish_20_complete_series_saga_collector,milestone_series,series,5,/icons/sagacoll.png,Common
Series Starter,Pilot Episode Collector,Five different series started. You are one bad decision away from 40 unfinished arcs.,Finish the first book of 5 different series.,finish_the_first_book_of_5_different_series_pilot_episode_co,series_shape,series,5,/icons/pilotep.png,Common
Voice of Reason,"Same Voice, Different Trauma",Five books with the same narrator. That voice lives in your head now. Rent-free.,finish 5 books by the same narrator,finish_5_books_narrated_by_the_same_person_same_voice_differ,narrator,narrator,5,/icons/voiceofreason.png,Common
Mutual Book Trauma,Social Butterfly,You have at least one completed book in common with every other user. Congratulations. You've built a library-shaped social graph.,"For user U, for every other user V: completed(U) n completed(V) ? Ø",for_user_u_for_every_other_user_v_completed_u_completed_v_so,social,social,5,/icons/social.png,Common
Shared Experience,Shared Experience,Two minds. One book. Same week. The System suspects a book club.,Two users finish the same book within the same week,two_users_finish_same_book_same_week_shared_experience,social,social,15,/icons/sharedexp.png,Uncommon
Dragon Rider,Scales and Bad Decisions,You finished a book with 'Dragon' in the title. The System rates your survival odds as 'funny.',Finish a book with 'Dragon' in the title.,finish_a_book_with_dragon_in_the_title_scales_and_bad_decisi,title_keyword,keyword,5,/icons/dragonrider.png,Common
Interstellar,"In Space, Nobody Can Hear You Binge","You finished a book with 'Space,' 'Galaxy,' or 'Star' in the title. The vacuum of space has nothing on your attention span.","Finish a book with 'Space,' 'Galaxy,' or 'Star' in the title.",finish_a_book_with_space_galaxy_or_star_in_the_title_in_spac,title_keyword,keyword,5,/icons/galaxy.png,Common
